               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.079112,            0.071689,             0.03112,            0.035911,             0.14938,             0.01593,           0.0042515,            0.082673,            0.039899,            0.030844,            0.008317,            0.008317,            0.008317
                  36,            0.078264,            0.070568,            0.031064,            0.024057,             0.10354,            0.013173,           0.0034749,            0.082946,            0.039422,             0.03186,           0.0082675,           0.0082675,           0.0082675
                  37,            0.077898,            0.067317,            0.030852,            0.052253,            0.084153,            0.015024,           0.0043907,            0.083556,            0.040473,            0.030826,            0.008218,            0.008218,            0.008218
                  38,            0.076458,            0.071193,            0.030661,           0.0062575,            0.027778,           0.0085696,           0.0019256,             0.08716,            0.039403,            0.032565,           0.0081685,           0.0081685,           0.0081685
                  39,            0.076802,            0.073655,            0.030279,            0.052827,            0.094794,            0.029034,           0.0055626,            0.082947,            0.039132,            0.031311,            0.008119,            0.008119,            0.008119
                  40,            0.076203,            0.073999,            0.030489,            0.024832,            0.083722,            0.011761,           0.0033007,            0.082896,            0.043735,            0.031448,           0.0080695,           0.0080695,           0.0080695
                  41,            0.076306,            0.073338,            0.030295,            0.022263,            0.049631,            0.024513,           0.0059744,            0.082275,            0.043142,            0.030093,             0.00802,             0.00802,             0.00802
                  42,             0.07512,            0.067703,            0.029955,            0.046734,             0.13869,            0.017522,           0.0051116,            0.083576,            0.037024,            0.031197,           0.0079705,           0.0079705,           0.0079705
                  43,            0.076179,            0.072601,            0.030038,            0.015012,             0.10247,            0.011599,           0.0029959,            0.083128,            0.039622,             0.03073,            0.007921,            0.007921,            0.007921
                  44,            0.075221,            0.069046,            0.029736,             0.02128,             0.20911,            0.023542,           0.0052249,            0.084186,            0.040106,            0.030757,           0.0078715,           0.0078715,           0.0078715
                  45,            0.075413,            0.072133,            0.029419,             0.02615,             0.09392,            0.024917,            0.010273,            0.081707,            0.042749,            0.030144,            0.007822,            0.007822,            0.007822
                  46,            0.074035,            0.071821,            0.029196,            0.038277,            0.097708,            0.027898,           0.0089403,            0.081117,            0.037024,            0.029544,           0.0077725,           0.0077725,           0.0077725
                  47,            0.074371,            0.070757,            0.028699,            0.060218,            0.044872,            0.034509,            0.011784,            0.083493,            0.043136,            0.029745,            0.007723,            0.007723,            0.007723
                  48,            0.073914,            0.068836,            0.028364,            0.040365,             0.12286,            0.047692,            0.013676,            0.084368,            0.039216,            0.030309,           0.0076735,           0.0076735,           0.0076735
                  49,            0.073573,            0.068473,            0.028663,            0.034803,            0.075855,            0.035422,            0.013659,            0.083568,            0.038823,             0.03062,            0.007624,            0.007624,            0.007624
                  50,            0.072933,            0.075041,            0.028732,            0.095436,            0.061966,            0.043216,             0.01742,            0.083065,            0.037875,            0.030309,           0.0075745,           0.0075745,           0.0075745
                  51,            0.073938,            0.068452,            0.028471,            0.087378,            0.067308,             0.04638,             0.01196,             0.08423,            0.039532,            0.029132,            0.007525,            0.007525,            0.007525
                  52,            0.072563,            0.070472,            0.027384,            0.054854,             0.12549,            0.036059,            0.010829,            0.083062,            0.037907,             0.02942,           0.0074755,           0.0074755,           0.0074755
                  53,            0.074398,            0.069994,            0.027709,            0.060066,             0.13937,            0.074785,            0.026227,            0.082316,            0.038494,            0.029022,            0.007426,            0.007426,            0.007426
                  54,            0.072625,            0.067956,            0.028179,            0.035902,             0.16871,             0.03297,           0.0091367,            0.083261,            0.045044,             0.02785,           0.0073765,           0.0073765,           0.0073765
                  55,            0.071776,             0.07619,             0.02678,            0.045791,             0.21513,            0.040384,            0.012072,            0.082739,            0.046662,            0.028619,            0.007327,            0.007327,            0.007327
                  56,            0.071409,            0.065427,            0.026831,            0.093984,              0.1826,            0.048258,            0.012117,             0.08456,             0.03772,            0.028738,           0.0072775,           0.0072775,           0.0072775
                  57,            0.071605,            0.068502,            0.025815,            0.098756,             0.11571,            0.052611,            0.017297,            0.081229,            0.036805,            0.030167,            0.007228,            0.007228,            0.007228
                  58,             0.07137,            0.071399,            0.025057,            0.082386,             0.12102,            0.040131,            0.012238,            0.080171,            0.036702,            0.029453,           0.0071785,           0.0071785,           0.0071785
                  59,            0.071807,            0.068342,            0.026111,             0.10719,             0.22471,            0.061544,            0.017817,            0.079935,            0.037604,            0.027946,            0.007129,            0.007129,            0.007129
                  60,            0.070879,            0.067004,            0.025254,            0.053545,             0.12694,            0.026536,           0.0067679,            0.084052,            0.035174,            0.031197,           0.0070795,           0.0070795,           0.0070795
                  61,            0.070179,            0.064325,            0.025015,            0.088491,             0.10781,            0.047727,            0.015595,            0.081176,            0.035122,            0.029599,             0.00703,             0.00703,             0.00703
                  62,            0.070782,            0.074451,            0.024619,            0.046346,             0.16871,            0.045936,            0.015535,            0.081088,            0.035612,            0.028464,           0.0069805,           0.0069805,           0.0069805
                  63,            0.069721,            0.068525,            0.025494,            0.063926,             0.12014,            0.040292,             0.01338,            0.079379,             0.03792,            0.028853,            0.006931,            0.006931,            0.006931
                  64,             0.07044,            0.067667,            0.024336,            0.055309,             0.13547,             0.03675,            0.013033,            0.081726,            0.036122,            0.029146,           0.0068815,           0.0068815,           0.0068815
                  65,            0.068716,            0.066647,            0.023606,            0.087597,             0.16861,            0.054726,            0.014847,            0.083929,            0.046675,            0.028487,            0.006832,            0.006832,            0.006832
                  66,            0.069391,            0.067158,            0.023985,            0.082083,             0.12539,            0.056615,            0.020032,            0.082067,            0.034407,            0.028995,           0.0067825,           0.0067825,           0.0067825
                  67,            0.068747,            0.066586,            0.023242,            0.078557,             0.13238,            0.071534,            0.019795,            0.079948,            0.036193,             0.02915,            0.006733,            0.006733,            0.006733
                  68,            0.068167,            0.063593,            0.023015,            0.083129,             0.19425,            0.090581,             0.02425,            0.083483,            0.042607,            0.026225,           0.0066835,           0.0066835,           0.0066835
                  69,            0.069095,            0.064885,            0.023197,             0.16162,               0.152,            0.079251,            0.025495,            0.079782,            0.035851,            0.028065,            0.006634,            0.006634,            0.006634
                  70,            0.067558,             0.06604,            0.023396,             0.11878,            0.089161,             0.05003,            0.017179,            0.084427,            0.039377,            0.028999,           0.0065845,           0.0065845,           0.0065845
                  71,            0.067694,             0.07049,            0.022295,             0.16678,             0.12014,            0.092791,            0.022575,            0.079315,            0.039139,            0.028107,            0.006535,            0.006535,            0.006535
                  72,            0.069296,            0.066303,            0.022598,             0.12604,             0.19279,             0.12119,            0.038872,            0.079293,            0.036934,            0.027663,           0.0064855,           0.0064855,           0.0064855
                  73,            0.068185,            0.066069,            0.022456,            0.054909,             0.14035,            0.053233,             0.01392,             0.08103,            0.034761,            0.029205,            0.006436,            0.006436,            0.006436
